topic,keywords
0,"yg, ini, itu, ada, di, aja, danantara, ga, ya, ke"
31,"monkey, aja, ada, ini, sama, gak, kalo, udah, ya, yg"
53,"singapura, tetanggaan, ihsg, tahun, kita, sudah, temasek, 1974, lalu, ini"
24,"light_skin_tone, folded_hands_light_skin_tone, head_shaking_vertically, index_pointing_at_the_viewer_light_skin_tone, dark_skin_tone, police_car_light, head_shaking_horizontally, yg, person_facepalming_light_skin_tone, middle_finger"
35,"iki, opo, sing, ae, ora, wes, wae, ra, nek, ki"
3,"prabowo, presiden, badan, anagata, nusantara, pengelola, subianto, rosan, daya, bpi"
18,"rolling_on_the_floor_laughing, yg, face_with_tears_of_joy, aja, di, ada, lagi, danantara, gak, nya"
34,"fondasi, danantarabangunnegeri, ekonomi, kuat, membangun, kokoh, terpercaya, memperkuat, indonesia, negeri"
13,"mendorong, dan, pertumbuhan, indonesia, strategis, untuk, menjadi, yang, ekonomi, investasi"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, dengan, lebih, langkah, depan, indonesia, masa"
4,"infrastruktur, danantarabangunnegeri, ekonomi, indonesia, pembangunan, bersama, lebih, dengan, yang, untuk"
32,"rolling_on_the_floor_laughing, danantara, aja, gini, ga, di, ya, nanti, buat, ada"
2,"terpercaya, danantarabangunnegeri, ekonomi, nasional, danantara, pembangunan, lebih, tantangan, investasi, kita"
20,"loudly_crying_face, aku, gue, ini, bgt, ya, pensive_face, aja, ga, danantara"
37,"modal, pasar, aset, investasi, negara, mengkonsolidasikan, semakin, sektor, ekuitas, danantara"
40,"face_with_hand_over_mouth, face_with_open_eyes_and_hand_over_mouth, squinting_face_with_tongue, face_with_rolling_eyes, face_with_tears_of_joy, face_savoring_food, winking_face_with_tongue, face_with_raised_eyebrow, face_with_tongue, ya"
6,"terpercaya, digital, danantarabangunnegeri, teknologi, digitalisasi, ekonomi, indonesia, inovasi, depan, masa"
29,"yang, badan, dan, akan, presiden, prabowo, dalam, bahwa, ini, tidak"
8,"gerakcepatekonomihebat, transformasi, ekonomi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
15,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_tear, mouth_face, money, smiling_face_with_halo, smiling_face_with_hearts"
47,"indonesiagelap, hambalang, ikn, indonesiagelap2025, mangkrak, food, estate, punggawa, danantara, apakah"
41,"indonesiagelap, 2029, adilijokowi, mulyono, koruptor, danantara, indonesiagelap2025, pilpres, pemilu, napi"
33,"tepatsolutifindonesia, presidenprabowo, berita, prabowo, presiden, diaudit, siapapun, investasi, harus, transparan"
11,"bpi, ekonomi, dukung, kita, lebih, yuk, depan, bersama, ayo, masa"
38,"memastikan, negara, aset, bahwa, terpercaya, danantarabangunnegeri, pengelolaan, memberikan, tetapi, kekayaan"
39,"face_with_tears_of_joy, cat_with_tears_of_joy, danantara, aja, face_with_steam_from_nose, ini, mau, dia, ngurus, itu"
51,"face_with_tears_of_joy, face_with_symbols_on_mouth, cat_with_tears_of_joy, grinning_face_with_sweat, chart_increasing, gorilla, face_with_steam_from_nose, percaya, danantara, masih"
25,"thinking_face, relieved_face, upside, down_face, yawning_face, folded_hands, zany_face, smirking_face, clown_face, melting_face"
10,"kesejahteraan, terus, semoga, rakyat, sejahtera, buat, dukung, demi, indonesia, semangat"
5,"bpi, danantaraporosinvestasi, asing, dukung, kita, investasi, buat, ekonomi, indonesia, siap"
16,"keren, bikin, sukses, semoga, mantap, changer, banget, game, wah, salut"
55,"check_mark_button, cross_mark, red_question_mark, double_exclamation_mark, backhand_index_pointing_down, exclamation_question_mark, fire, red_exclamation_mark, backhand_index_pointing_right, hourglass_not_done"
17,"indonesiagelap, ndasmu, malam, pertamax, exabet88, carmen, siang, rabu, senin, kaburajadulu"
27,"thumbs_up, folded_hands, clapping_hands, beaming_face_with_smiling_eyes, yg, ini, di, saya, thinking_face, pak"
