topic,keywords
0,"danantara, yg, di, ini, dan, yang, ada, itu, bumn, bisa"
1,"danantarabangunnegeri, terpercaya, danantara, ekonomi, indonesia, lebih, dengan, yang, nasional, untuk"
2,"danantaraporosinvestasi, danantara, investasi, dengan, pemerintah, dan, lebih, indonesia, sinergi, yang"
4,"gerakcepatekonomihebat, transformasi, ekonomi, bumn, global, efisien, bupati, gubernur, hasto, sukses"
3,"bpi, danantaraporosinvestasi, asing, investasi, ekonomi, danantara, kita, indonesia, buat, dukung"
5,"kota, dukungan, danantaraporosinvestasi, dari, setiap, tiap, danantara, masyarakat, buat, untuk"
