topic,keywords
0,
35,"monkey, kalo"
23,"rolling_on_the_floor_laughing, nya"
16,"light_skin_tone, folded_hands_light_skin_tone, thumbs_up, beaming_face_with_smiling_eyes"
8,"mendorong, pertumbuhan, strategis, aset"
34,"iki, opo, sing, ae, ora, wes, ra, nek, ki, ono"
3,"prabowo, presiden, badan, nusantara, anagata, pengelola, subianto, rosan, bpi, daya"
17,"face_with_tears_of_joy, face_with_hand_over_mouth, squinting_face_with_tongue, face_with_open_eyes_and_hand_over_mouth, cat_with_tears_of_joy, face_with_rolling_eyes, face_savoring_food, face_screaming_in_fear, face_with_symbols_on_mouth"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, langkah"
5,"infrastruktur, danantarabangunnegeri, pembangunan"
31,"rolling_on_the_floor_laughing, gini"
2,"terpercaya, danantarabangunnegeri, nasional, pembangunan, investasi"
21,"loudly_crying_face, gue, pensive_face, bgt"
6,"terpercaya, danantarabangunnegeri, digital, teknologi, digitalisasi, inovasi"
29,"badan, presiden, prabowo, negara"
9,"gerakcepatekonomihebat, transformasi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
19,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, smiling_face_with_tear, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_halo, smiling_face_with_hearts, mouth_face, grinning_squinting_face"
12,"bpi, dukung"
11,"negara, terpercaya, danantarabangunnegeri, aset, produktif, kekayaan"
27,"thinking_face, relieved_face, folded_hands, down_face, upside, zany_face, yawning_face, clown_face, melting_face"
4,"bpi, danantaraporosinvestasi, asing, investasi, dukung"
15,"kesejahteraan, semoga, sejahtera, dukung, semangat"
13,"keren, energi, bikin, mantap, sukses, semoga, banget"
20,"indonesiagelap, ndasmu, malam, pertamax, carmen, exabet88, senin, siang, rabu, kaburajadulu"
14,"berkelanjutan, aset, positif, bumn, optimalisasi, sektor, berdampak, investasi, optimalkan, dampak"
33,"emas, peluncuran, besok, dukung, yuk, mari"
18,"buruhbersamaprabowo, danantarabangunnegeri, inovasi, digital"
24,"optimisme, pertumbuhan, peresmian, hadirnya, seiring"
22,"transparansi, anggaran, efisiensi, efisien, transparan, investasi"
28,"harga, dm, bahan, size, varian, renang, liga, psps, putri, spbu"
10,"kota, dukungan, danantaraporosinvestasi, masyarakat, semangat"
7,"terpercaya, danantarabangunnegeri, nasional, berkat, inovasi"
30,"sby, jokowi, terpercaya, danantarabangunnegeri, pengawasan, amp, produktif, aset"
26,"polri, sepenuh, danantarauntukindonesia, hati, komitmen, mendukung, kolaborasiperkuatbangsa, mengawal, menjaga, program"
25,"bupati, gubernur, hasto, gerakcepatekonomihebat, sukses, transformasi, global, efisien, bumn"
32,"hukum, bpi, landasan, dasar, kuat, hukumnya, kokoh"
