topic,keywords
3,rakyat
0,
26,rolling_on_the_floor_laughing
13,"light_skin_tone, folded_hands_light_skin_tone, thumbs_up, folded_hands"
39,"iki, opo, sing, ae, ora, wes, ra, nek, ki, ono"
19,"mendorong, pertumbuhan, strategis, investasi"
22,"optimisme, pertumbuhan, peresmian, hadirnya, seiring"
15,"face_with_tears_of_joy, face_with_hand_over_mouth, face_screaming_in_fear, face_with_open_eyes_and_hand_over_mouth, squinting_face_with_tongue, face_with_rolling_eyes, face_savoring_food, cat_with_tears_of_joy"
4,"prabowo, presiden, badan, anagata, nusantara, pengelola, subianto, rosan, daya, bpi"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, langkah"
5,"infrastruktur, danantarabangunnegeri, pembangunan"
33,"rolling_on_the_floor_laughing, gini"
11,"kota, dukungan, danantaraporosinvestasi, masyarakat, semangat"
2,"terpercaya, danantarabangunnegeri, nasional, pembangunan, investasi, tantangan"
24,"loudly_crying_face, pensive_face, gue, bgt"
7,"terpercaya, digital, danantarabangunnegeri, teknologi, digitalisasi, inovasi"
38,"badan, presiden, prabowo"
9,"gerakcepatekonomihebat, transformasi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
35,"hukum, bpi, landasan, dasar, kuat, hukumnya, kokoh"
21,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, smiling_face_with_tear, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_halo, grinning_squinting_face, smiling_face_with_hearts, smiling_face_with_sunglasses"
32,"the, is, to, this, of, it, you, and, in"
34,"indonesiagelap, hambalang, indonesiagelap2025, ikn, mangkrak, adilijokowi, 2029, food"
10,"negara, terpercaya, aset, danantarabangunnegeri, produktif, kekayaan"
43,"mouth_face, evil_monkey, money, no, face_with_peeking_eye, see, money_bag, grinning_face_with_sweat, beaming_face_with_smiling_eyes, money_with_wings"
28,"thinking_face, relieved_face, folded_hands, down_face, upside, clown_face, yawning_face, melting_face, zany_face, smirking_face"
6,"bpi, danantaraporosinvestasi, asing, dukung, investasi"
12,"rakyat, semoga, kesejahteraan, sejahtera, dukung, semangat"
23,"indonesiagelap, ndasmu, malam, pertamax, exabet88, siang, carmen, senin, kaburajadulu, hutangnya"
40,"emas, peluncuran, besok, dukung, yuk, mari"
37,"danantarabangunnegeri, negeri, aksi, kayak, buktiin, butuh"
36,"korupsi, sabar, koruptor, nunggu, berita, bancakan, sarang, berdasi, liga"
17,"bpi, dukung, yuk, ayo"
14,"berkelanjutan, aset, positif, optimalisasi, bumn, sektor, berdampak, investasi, optimalkan, dampak"
41,"danantaramembangunnegri, membangun, mari, dukung, perubahan, negeri"
18,"doa, semoga, danantaraporosinvestasi, harapan, memajukan, kemajuan"
16,"keren, energi, bikin, mantap, banget, sukses, semoga, changer, salut"
25,"transparansi, anggaran, efisiensi, efisien, transparan, investasi"
30,"harga, dm, bahan, size, varian, renang, liga, psps, putri, spbu"
31,"sby, jokowi, terpercaya, danantarabangunnegeri, pengawasan, amp, produktif, aset"
8,"terpercaya, danantarabangunnegeri, nasional, berkat, inovasi"
42,"tepatsolutifindonesia, presidenprabowo, berita, presiden, prabowo, investasi, diaudit, dinantara"
20,"buruhbersamaprabowo, danantarabangunnegeri, inovasi, digital"
29,"polri, sepenuh, danantarauntukindonesia, hati, komitmen, kolaborasiperkuatbangsa, mendukung, mengawal, menjaga, program"
27,"bupati, gubernur, hasto, gerakcepatekonomihebat, sukses, transformasi, efisien, global, bumn"
