topic,keywords
1,"yg, tidak, rakyat, itu, karena, ini, mereka, tapi, ada, jika"
220,"rolling_on_the_floor_laughing, konven, sorry, lucu, dateng, ngawasi, bang, maling, spill2an, cooooook"
62,"light_skin_tone, folded_hands_light_skin_tone, dark_skin_tone, person_facepalming_light_skin_tone, person_facepalming_medium, man_shrugging_light_skin_tone, man_facepalming_light_skin_tone, middle_finger_medium, folded_hands_medium, ok_hand_medium"
63,"perekonomian, semoga, positif, dampak, ekonomibangsakuat, kemandirian, berdampak, meningkatkan, fyp, indonesia"
24,"solusinya, scam, membership, otw, hidup, jembot, dahlaniskan, danantara, ra, rayap"
130,"ngelola, mu, pisangsekarang, sq, dipaksa, dibiayain, kodenya, sejam, goals, rambut"
77,"sing, wes, ra, ora, ae, neng, nek, wae, iki, opo"
26,"mendorong, serta, meningkatkan, strategis, memperkuat, pertumbuhan, dapat, lapangan, menciptakan, mengoptimalkan"
102,"mengatur, terarah, pengelolaan, efektif, agar, aset, merupakan, keuangan, menjadi, secara"
118,"setiap, diambil, pembangunan, dilakukan, kebaikan, memberikan, selalu, dampak, keberlanjutan, menciptakan"
74,"seruan, penarikan, tarik, ajakan, bank, imbas, ramai, himbara, massal, dana"
30,"badan, 2025, presiden, miliar, bahwa, tahun, nomor, anagata, pengelola, nusantara"
199,"kilang, minyak, didanai, sumatera, barel, berkapasitas, bahlil, terbesar, raksasa, bangun"
28,"bank, bca, swasta, pindahin, tabungan, rekening, pindah, mandiri, bni, bri"
392,"penies, face_with_tears_of_joy, iklan, gameover, terasosiasi, biy, hentiin, dery, gataunya, hitung2an"
181,"dipake, duitnya, modal, buat, sangon, puterannya, padq, sparkles, keknya, pensiunannya"
362,"sukseskan, kawal, dukung, joss, program, pelaksanaan, mantap, mari, lanjutkan, jaga"
93,"ngalihin, nutupin, gini, kayak, tumbal, mau, nutup, mending, pertamax, mah"
31,"rolling_on_the_floor_laughing, gini, emyu, bitcoin, nanti, ngurus, micin, aja, percaya, merampas"
37,"fondasi, kokoh, kuat, memperkuat, membangun, danantarabangunnegeri, infrastruktur, perkuat, terpercaya, memperkokoh"
0,"terpercaya, danantarabangunnegeri, nasional, pembangunan, tantangan, ekonomi, inovasi, solusi, lebih, danantara"
104,"dukung, baik, demi, hijau, lebih, sambut, kehidupan, mari, cerah, masa"
139,"dukungdanantara, light_bulb, handshake, rocket, flexed_biceps, seedling, bersamadanantara, sparkles, bangunnegeri, bersamamaju"
332,"africa, globe_showing_europe, bersamadanantara, globe_showing_asia, australia, untukindonesia, handshake, dukungkemajuan, top_arrow, masadepanindonesia"
229,"ipad, inalilahi, kulik, wadoh, inalillahi, mantab, wkwkwkwkwkwk, astagfirullah, wkkwkw, dimaksud"
278,"rolling_on_the_floor_laughing, runners, samar, man_walking, ngatain, ponakan, macem, ngumpulin, bunga, bayar3x"
3,"kesejahteraan, kekayaan, konsolidasi, aset, saing, daya, optimalisasi, optimalkan, danantaraporosinvestasi, entitas"
100,"adadikompas, kompastv, simak, saksikan, topik, kompas, berikut, webinar, wib, diskusi"
16,"loudly_crying_face, aku, gue, bgt, allah, broken_heart, crying_face, ya, baca, pensive_face"
212,"perang, blair, zionis, tony, bush, irak, uk, ukraine, kirim, pm"
154,"adek, bocor, aowkaowkaokwoa, aowkaowkaowkaowkaowkaowk, akwkwkakwkwowkwowkwowkwk, akwkwkwk, akwoakwoakwoak, akwkwokkwkk, akwoakwoakwoakwoak, aowkaowkaowk"
155,"pangan, manufaktur, terbarukan, proyekproyek, alam, produksi, menginvestasikan, hilir, energi, canggih"
7,"aja, udah, lu, ga, gue, kalo, sama, tuh, bgt, bener"
15,"tdk, jd, dr, amp, yg, sdh, bs, krn, dn, dgn"
186,"bahlillahadalia, partaigolkar, golkarpedia, golkarindonesia, kuningkeren, golkarsolid, sarmuji, lahadalia, esdm, bahlil"
215,"face_with_hand_over_mouth, rocket, berutang, manta, atik, dinda, amah, jampi², kios, malming"
61,"finalis, occrp, terkorup, adilijokowi, pengawas, tokoh, perampas, versi, indonesiagelap, sedunia"
236,"semakin, optimal, aset, prioritas, investasu, negara, melalui, pengelolaan, efisiensi, akuntabel"
57,"mempercepat, telekomunikasi, energi, perbankan, memperkuat, pertambangan, danantaraporosinvestasi, mendorong, hijau, mengakselerasi"
5,"digital, digitalisasi, teknologi, terpercaya, danantarabangunnegeri, perekonomian, inovasi, indonesia, pemanfaatan, ekonomi"
167,"mending, daripada, dipake, beli, duitnya, drpd, buat, modalin, mendingan, playstation"
128,"pertumbuhan, berkelanjutan, konsisten, efektivitas, wujudkan, viva, mengkondisikan, menjadikan, jembatan, danantaraporosinvestasi"
161,"joint, venture, efisien, perusahaanperusahaan, keputusan, pengelolaannya, optimal, sehingga, stabil, perusahaan"
8,"gerakcepatekonomihebat, transformasi, efisien, global, transparan, transparansi, efisiensi, bumn, ekonomi, dunia"
6,"bpi, hukum, landasan, dukung, dasar, hukumnya, yuk, kuat, ayo, kokoh"
32,"ladang, bancakan, korupsi, isinya, sarang, bandit2, koruptor, berdasi, rakus, lahan"
355,"danai, hilirisasi, proyek, sawit, pv, storge, kilang, solar, disekolahin, taon"
54,"rolling_on_the_floor_laughing, jokodok, nabung, or, titipannya, memfoto, kawaldanantarahinggatuntas, wook, thumbs_down, nyetrika"
21,"tidak, saja, sudah, akan, jika, pak, orang, mereka, seperti, saya"
134,"deviden, uang, nasabah, dividen, milik, pnri, dana, utang, modal, liabilitas"
56,"beaming_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_smiling_eyes, coming, kissing_face_with_smiling_eyes, soon, kissing_face_with_closed_eyes, thx, saldonya, wassalam"
29,"the, is, to, this, of, it, and, you, for, they"
18,"pemerintah, tunjukkan, komitmen, keseriusan, pembentukan, iklim, berkelanjutan, langkah, buktikan, pertumbuhan"
40,"asing, berkat, tertarik, semakin, investasi, deras, danantaraporosinvestasi, mengalir, makin, potensi"
99,"diaudit, siapapun, saat, harus, setiap, pun, tegaskan, transparan, prabowo, kapan"
344,"gp, ansor, asta, cita, center, amp, apik, salut, cetak, cerdas"
113,"hingga, penasihat, prabowo, tomy, mantan, winata, bahas, aguan, bertemu, presiden"
34,"face_with_tears_of_joy, cat_with_tears_of_joy, caci, ngurus, nih, lib, halah, dirangkap, keduluan, logika"
142,"duit, kerugian, ga, bocornya, kalo, trilyun, kebal, ngadi, duitmu, rugi"
244,"rp, dividen, rp100t, 100t, 90t, sisa, diperkirakan, apbn, rp200t, cawu"
234,"kenapa, kalau, cara, dipakai, nggak, kelola, solusinya, diem, tarikdaanadibumn, za"
147,"mbg, ikn, villain, girl, next, abangkuh, obvi, wqw1, haa, dick"
25,"thinking_face, relieved_face, pensive_face, melting_face, clown_face, yawning_face, zany_face, smirking_face, weary_face, grimacing_face"
160,"economic, in, for, terms, with, the, seamless, thrive, through, stands"
53,"face_with_tears_of_joy, cat_with_tears_of_joy, chart_increasing, nyebong, ngambur2, ngurus, berakhlak, nyebarin, iniklo, rungkad"
310,"rolling_on_the_floor_laughing, lolot, goblok, selingkuh, pad, indosat, iskan, dahlan, sty, trilyun"
187,"napi, mantan, tim, koruptor, terpidana, mulyono, dut, ketua, eks, ahli"
117,"folded_hands, raising_hands, bli, heart_hands, info, terimakasih, tolong, nenengisme, freshgrad, manvest"
98,"abdullah, pakar, burhanuddin, tim, ketua, inisiator, eks, burhanudin, harahap, lapas"
42,"beaming_face_with_smiling_eyes, grinning_face_with_sweat, face_with_rolling_eyes, hammer, smiling_face_with_smiling_eyes, saya, grinning_face_with_smiling_eyes, pak, face_screaming_in_fear, turun"
84,"pasar, modal, ekuitas, menopang, obligasi, suntik, optimalisasi, besar, cerdas, strategi"
55,"erick, thohir, maret, inbreng, 47, daftar, akhir, bei, bumn, usai"
311,"face_with_open_eyes_and_hand_over_mouth, ketangkapnya, otwdanantara, taliban, cocot, dripada, nasibmu, sdsb, see, latah"
166,"sovereign, wealth, fund, authority, bertujuan, miliar, investment, mengelola, ina, dimiliki"
298,"face_savoring_food, masak, asikkkk, diroasting, utiwiiii, chef, rayahan, oi, f1, stock"
193,"ditutup, laut, pagar, teriak2, presidenex, isu, gas, dihalangi, melon, oplosan"
243,"diumumkan, pekan, struktur, lengkap, senin, rosan, pengurus, besok, namanamanya, maret"
72,"jelasin, bahasa, bayi, paham, ngerti, apa, disimak, tolong, aku, tau"
2,"bpi, asing, dukung, danantaraporosinvestasi, yuk, siap, kita, makin, buat, sambut"
312,"direktur, calon, ketua, nobody, diputuskan, direksi, anggota, ralat, pilpres, kandidat"
123,"ieu, nu, teu, teh, jiga, na, eta, jeung, naon, mun"
126,"phk, tni, rupiah, melemah, defisit, ihsg, anjlok, ruu, langka, wajib"
175,"tuit, 42, 11rb, 6000, 350t, mbg, angka, per, 14rb, batalin"
194,"triliun, anggaran, 750, rp750, rp, dialokasikan, subianto, rp300, bergizi, pemangkasan"
372,"ser, down_face, upside, another, darahku, 100010, berantakannn, kia, direncanin, mucul"
112,"kentara, dana, diantara, antara, ibukota, hilang, sejahtera, danantaradana, tak, keluarga"
334,"hendri, satrio, wiwoho, hardjuno, bantah, roeslani, prabowogibran, tkn, zonk, hilmi"
376,"hasan, nasbi, komunikasi, kepresidenan, penasihat, kantor, dilibatkan, anagata, ormas, kepala"
315,"dalio, ray, gabung, dikabarkan, profil, dewas, djojohadikusumo, konglomerat, as, hashim"
206,"suami, bank, kartel, uang, keuntungan, kalau, istri, abadi, besarannya, nondanantara"
182,"menunjang, kekuatan, instrumen, perekonomian, sebagai, masa, depan, optimistis, pembangunan, akan"
