topic,keywords
0,"yg, ini, itu, di, ada, danantara, aja, ga, dan, ke"
35,"monkey, aja, ini, gak, ya, sama, yg, mau, kalo, ada"
23,"rolling_on_the_floor_laughing, yg, aja, di, ada, danantara, nya, itu, gak, lagi"
16,"yg, light_skin_tone, folded_hands_light_skin_tone, thumbs_up, di, beaming_face_with_smiling_eyes, ini, aja, danantara, ada"
8,"dan, mendorong, indonesia, pertumbuhan, untuk, menjadi, yang, strategis, aset, ekonomi"
34,"iki, opo, sing, ae, ora, wes, ra, nek, ki, ono"
3,"prabowo, presiden, badan, nusantara, anagata, pengelola, subianto, rosan, bpi, daya"
17,"face_with_tears_of_joy, face_with_hand_over_mouth, danantara, squinting_face_with_tongue, face_with_open_eyes_and_hand_over_mouth, cat_with_tears_of_joy, face_with_rolling_eyes, face_savoring_food, face_screaming_in_fear, face_with_symbols_on_mouth"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, dengan, danantara, lebih, indonesia, dan, langkah"
5,"infrastruktur, danantarabangunnegeri, ekonomi, indonesia, pembangunan, lebih, bersama, dengan, yang, danantara"
31,"rolling_on_the_floor_laughing, danantara, aja, gini, di, ada, ya, buat, ga, nanti"
2,"terpercaya, danantarabangunnegeri, danantara, ekonomi, nasional, pembangunan, lebih, yang, investasi, untuk"
21,"loudly_crying_face, aku, ini, gue, pensive_face, ya, bgt, ga, aja, danantara"
6,"terpercaya, danantarabangunnegeri, digital, teknologi, ekonomi, digitalisasi, indonesia, inovasi, depan, masa"
29,"yang, dan, badan, presiden, akan, prabowo, dalam, ini, di, negara"
9,"gerakcepatekonomihebat, transformasi, ekonomi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
19,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, smiling_face_with_tear, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_halo, smiling_face_with_hearts, mouth_face, grinning_squinting_face"
12,"bpi, ekonomi, dukung, kita, lebih, depan, untuk, masa, bersama, danantara"
11,"negara, terpercaya, danantarabangunnegeri, aset, lebih, danantara, memastikan, produktif, kekayaan, dengan"
27,"thinking_face, relieved_face, folded_hands, down_face, upside, zany_face, yawning_face, clown_face, melting_face, danantara"
4,"bpi, danantaraporosinvestasi, asing, investasi, kita, dukung, ekonomi, buat, indonesia, siap"
15,"terus, rakyat, kesejahteraan, semoga, buat, sejahtera, dukung, indonesia, demi, semangat"
13,"keren, energi, bikin, mantap, sukses, semoga, banget, buat, makin, danantara"
20,"indonesiagelap, ndasmu, malam, pertamax, carmen, exabet88, senin, siang, rabu, kaburajadulu"
14,"berkelanjutan, aset, positif, bumn, optimalisasi, sektor, berdampak, investasi, optimalkan, dampak"
33,"emas, peluncuran, besok, dukung, indonesia, menuju, kita, yuk, mari, untuk"
18,"buruhbersamaprabowo, danantarabangunnegeri, ekonomi, indonesia, inovasi, digital, bersama, dengan, lebih, danantara"
24,"optimisme, pertumbuhan, ekonomi, peresmian, hadirnya, baru, dengan, seiring, kita, danantara"
22,"transparansi, anggaran, efisiensi, efisien, transparan, investasi, dan, danantara, di, dengan"
28,"harga, dm, bahan, size, varian, renang, liga, psps, putri, spbu"
10,"kota, dukungan, danantaraporosinvestasi, dari, setiap, tiap, masyarakat, semangat, seluruh, buat"
7,"terpercaya, danantarabangunnegeri, ekonomi, dengan, danantara, nasional, dari, berkat, inovasi, lebih"
30,"sby, jokowi, terpercaya, danantarabangunnegeri, pengawasan, amp, dan, danantara, produktif, aset"
26,"polri, sepenuh, danantarauntukindonesia, hati, komitmen, mendukung, kolaborasiperkuatbangsa, mengawal, menjaga, program"
25,"bupati, gubernur, hasto, gerakcepatekonomihebat, sukses, transformasi, ekonomi, global, efisien, bumn"
32,"hukum, bpi, landasan, dasar, kuat, sudah, ekonomi, hukumnya, kokoh, kita"
