topic,keywords
0,
31,"monkey, kalo, udah"
53,"singapura, tetanggaan, ihsg, temasek, 1974"
24,"light_skin_tone, folded_hands_light_skin_tone, head_shaking_vertically, index_pointing_at_the_viewer_light_skin_tone, dark_skin_tone, police_car_light, head_shaking_horizontally, person_facepalming_light_skin_tone, middle_finger"
35,"iki, opo, sing, ae, ora, wes, wae, ra, nek, ki"
3,"prabowo, presiden, badan, anagata, nusantara, pengelola, subianto, rosan, daya, bpi"
18,"rolling_on_the_floor_laughing, face_with_tears_of_joy, nya"
34,"fondasi, danantarabangunnegeri, kuat, membangun, kokoh, terpercaya, memperkuat, negeri"
13,"mendorong, pertumbuhan, strategis, investasi"
1,"danantaraporosinvestasi, investasi, pemerintah, sinergi, langkah"
4,"infrastruktur, danantarabangunnegeri, pembangunan"
32,"rolling_on_the_floor_laughing, gini"
2,"terpercaya, danantarabangunnegeri, nasional, pembangunan, tantangan, investasi"
20,"loudly_crying_face, gue, bgt, pensive_face"
37,"modal, pasar, aset, investasi, negara, mengkonsolidasikan, sektor, ekuitas"
40,"face_with_hand_over_mouth, face_with_open_eyes_and_hand_over_mouth, squinting_face_with_tongue, face_with_rolling_eyes, face_with_tears_of_joy, face_savoring_food, winking_face_with_tongue, face_with_raised_eyebrow, face_with_tongue"
6,"terpercaya, digital, danantarabangunnegeri, teknologi, digitalisasi, inovasi"
29,"badan, presiden, prabowo"
8,"gerakcepatekonomihebat, transformasi, efisien, global, bumn, transparan, efisiensi, transparansi, dunia"
15,"grinning_face_with_sweat, beaming_face_with_smiling_eyes, grinning_face_with_smiling_eyes, smiling_face_with_smiling_eyes, grinning_face_with_big_eyes, smiling_face_with_tear, mouth_face, money, smiling_face_with_halo, smiling_face_with_hearts"
47,"indonesiagelap, hambalang, ikn, indonesiagelap2025, mangkrak, food, estate, punggawa"
41,"indonesiagelap, 2029, adilijokowi, mulyono, koruptor, indonesiagelap2025, pilpres, pemilu, napi"
33,"tepatsolutifindonesia, presidenprabowo, berita, prabowo, presiden, diaudit, investasi, transparan"
11,"bpi, dukung, yuk, ayo"
38,"negara, aset, terpercaya, danantarabangunnegeri, pengelolaan, kekayaan"
39,"face_with_tears_of_joy, cat_with_tears_of_joy, face_with_steam_from_nose, ngurus"
51,"face_with_tears_of_joy, face_with_symbols_on_mouth, cat_with_tears_of_joy, grinning_face_with_sweat, chart_increasing, gorilla, face_with_steam_from_nose, percaya"
25,"thinking_face, relieved_face, upside, down_face, yawning_face, folded_hands, zany_face, smirking_face, clown_face, melting_face"
10,"kesejahteraan, semoga, sejahtera, dukung, semangat"
5,"bpi, danantaraporosinvestasi, asing, dukung, investasi"
16,"keren, bikin, sukses, semoga, mantap, changer, banget, game, salut"
55,"check_mark_button, cross_mark, red_question_mark, double_exclamation_mark, backhand_index_pointing_down, exclamation_question_mark, fire, red_exclamation_mark, backhand_index_pointing_right, hourglass_not_done"
17,"indonesiagelap, ndasmu, malam, pertamax, exabet88, carmen, siang, rabu, senin, kaburajadulu"
27,"thumbs_up, folded_hands, clapping_hands, beaming_face_with_smiling_eyes, thinking_face"
48,"biar, aset, negara, utang, bergantung"
12,"berkelanjutan, aset, positif, optimalisasi, sektor, bumn, berdampak, investasi, optimalkan, dampak"
21,"negara, aset, terpercaya, danantarabangunnegeri, pastiin, produktif, kekayaan"
42,"danantaramembangunnegri, membangun, mari, dukung, perubahan, negeri"
23,"optimisme, peresmian, pertumbuhan, hadirnya, seiring, diresmikan"
45,"tangga, rumah, keluarga, terpercaya, danantarabangunnegeri, berharap"
19,"transparansi, anggaran, efisiensi, efisien, transparan, investasi"
22,"bupati, gubernur, hasto, gerakcepatekonomihebat, sukses, transformasi, efisien, global, bumn"
26,"harga, dm, bahan, size, varian, renang, psps, putri, liga, spbu"
54,"yuk, dukung, support, transparan, jujur, transparansi, investasi, bareng"
49,"energi, transisi, hijau, bersih, mantap, angin, segar, bawa, keren"
44,"emas, peluncuran, besok, dukung, yuk, langkah"
9,"kota, dukungan, danantaraporosinvestasi, masyarakat, semangat"
7,"terpercaya, danantarabangunnegeri, nasional, berkat, inovasi, dukungan"
43,"negeri, danantarabangunnegeri, aksi, kayak, buktiin, butuh"
30,"sby, jokowi, terpercaya, danantarabangunnegeri, pengawasan, amp, produktif, pastikan, aset"
50,"sistem, terpercaya, bikin, danantarabangunnegeri, negara, sustain, investasi"
14,"buruhbersamaprabowo, danantarabangunnegeri, inovasi, digital, kemajuan"
46,"cerah, terpercaya, danantarabangunnegeri, berkat, inovasi"
28,"polri, danantarauntukindonesia, sepenuh, hati, komitmen, mendukung, mengawal, menjaga, program, kesuksesan"
52,"kolaborasiperkuatbangsa, bareng, pengelolaan, dukung, kuat, aset, strategi, pembangunan"
36,"hukum, bpi, landasan, dasar, kuat, hukumnya, kokoh, dukung"
